ParkName,State,partySize,RateType,BookingType,Equipment,
Laurie,NS ,4,Full,CampsitePermit,ST,
Graves Island,NS ,1,Full,CampsitePermit,ST,
Rissers Beach,NS ,4,Full,CampsitePermit,ST,
Battery,NS ,1,Full,CampsitePermit,ST,
Thomas Raddall,NS ,4,Full,CampsitePermit,LT20ft,
Laurie,NS ,6,Full,CampsitePermit,Tents,
Laurie,NS ,2,Full,CampsitePermit,LT30ft,
Cape Chignecto,NS ,3,Full,BackcountryPermit,ST,
Rissers Beach,NS ,3,Full,CampsitePermit,ST,
Graves Island,NS ,5,Full,CampsitePermit,LT20ft,
Blomidon,NS ,2,Full,CampsitePermit,ST,
Blomidon,NS ,1,Full,CampsitePermit,ST,
Amherst Shore,NS ,5,Full,CampsitePermit,LT40ft,
Porters Lake,NS ,6,Full,CampsitePermit,Tents,
Amherst Shore,NS ,3,Full,CampsitePermit,LT20ft,
Blomidon,NS ,3,Full,CampsitePermit,LT20ft,
Rissers Beach,NS ,3,Full,CampsitePermit,ST,
Five Islands,NS ,2,Full,CampsitePermit,ST,
Valleyview,NS ,1,Full,CampsitePermit,ST,
Graves Island,NS ,6,Full,CampsitePermit,ST,
Dollar Lake,NS ,5,Full,CampsitePermit,ST,
Five Islands,NS ,4,Full,CampsitePermit,Tents,
Blomidon,NS ,2,Senior,CampsitePermit,ST,
Smileys,NS ,6,Full,CampsitePermit,LT30ft,
Porters Lake,NS ,1,Full,CampsitePermit,ST,
The Islands,NS ,2,Veteran,CampsitePermit,LT20ft,
Battery,NS ,5,Full,CampsitePermit,LT30ft,
Rissers Beach,NS ,2,Full,CampsitePermit,ST,
Graves Island,NS ,3,Full,CampsitePermit,ST,
Laurie,NS ,4,Full,CampsitePermit,LT40ft,
Smileys,NS ,4,Full,CampsitePermit,ST,
Smileys,NS ,4,Full,CampsitePermit,LT20ft,
Mira River,NS ,3,Full,CampsitePermit,LT40ft,
Rissers Beach,NS ,2,Full,CampsitePermit,ST,
Smileys,NS ,4,Full,CampsitePermit,ST,
Porters Lake,NS ,3,Full,CampsitePermit,LT30ft,
Smileys,NS ,2,Full,CampsitePermit,Tents,
Thomas Raddall,NS ,1,Full,CampsitePermit,ST,
Rissers Beach,NS ,2,Senior,CampsitePermit,LT20ft,
Mira River,NS ,4,Full,CampsitePermit,LT30ft,
Five Islands,NS ,2,Full,CampsitePermit,ST,
Graves Island,NS ,2,Full,CampsitePermit,ST,
Caribou Munroes,NS ,2,Full,CampsitePermit,ST,
Dollar Lake,NS ,2,Full,CampsitePermit,LT20ft,
Rissers Beach,NS ,6,Full,CampsitePermit,Tents,
Caribou Munroes,NS ,5,Full,CampsitePermit,ST,
Rissers Beach,NS ,2,Full,CampsitePermit,LT20ft,
Whycocomagh,NS ,4,Full,CampsitePermit,ST,
Porters Lake,NS ,2,Full,CampsitePermit,LT20ft,
Whycocomagh,NS ,2,Full,CampsitePermit,LT30ft,
Blomidon,NS ,2,Full,CampsitePermit,LT30ft,
Rissers Beach,NS ,3,Full,CampsitePermit,Tents,
Thomas Raddall,NS ,2,Full,CampsitePermit,ST,
Amherst Shore,NS ,5,Full,CampsitePermit,LT30ft,
Dollar Lake,NS ,2,Full,CampsitePermit,ST,
Blomidon,NS ,2,Full,CampsitePermit,LT20ft,
Battery,NS ,4,Full,CampsitePermit,ST,
Graves Island,NS ,5,Full,CampsitePermit,LT20ft,
Porters Lake,NS ,2,Full,CampsitePermit,LT20ft,
Blomidon,NS ,3,Full,CampsitePermit,Tents,
Porters Lake,NS ,2,Senior,CampsitePermit,LT20ft,
Thomas Raddall,NS ,1,Full,CampsitePermit,ST,
Ellenwood Lake,NS ,4,Full,CampsitePermit,ST,
Mira River,NS ,2,Full,CampsitePermit,LT20ft,
Caribou Munroes,NS ,4,Full,CampsitePermit,Tents,
Rissers Beach,NS ,3,Full,CampsitePermit,LT20ft,
Dollar Lake,NS ,5,Full,CampsitePermit,LT30ft,
Caribou Munroes,NS ,4,Full,CampsitePermit,ST,
Rissers Beach,NS ,4,Full,CampsitePermit,ST,
Rissers Beach,NS ,4,Full,CampsitePermit,LT40ft,
Mira River,NS ,5,Full,CampsitePermit,ST,
Mira River,NS ,4,Full,CampsitePermit,LT30ft,
Dollar Lake,NS ,4,Full,CampsitePermit,ST,
Ellenwood Lake,NS ,4,Full,CampsitePermit,LT20ft,
Smileys,NS ,2,Full,CampsitePermit,LT30ft,
Graves Island,NS ,3,Full,CampsitePermit,LT30ft,
Porters Lake,NS ,2,Full,CampsitePermit,ST,
Graves Island,NS ,2,Full,CampsitePermit,LT20ft,
Graves Island,NS ,4,Full,CampsitePermit,ST,
Blomidon,NS ,3,Full,CampsitePermit,ST,
Blomidon,NS ,1,Full,CampsitePermit,ST,
Graves Island,NS ,2,Full,CampsitePermit,Tents,
Smileys,NS ,3,Full,CampsitePermit,LT30ft,
Caribou Munroes,NS ,3,Full,CampsitePermit,LT20ft,
Rissers Beach,NS ,2,Full,CampsitePermit,LT20ft,
Porters Lake,NS ,2,Full,CampsitePermit,ST,
Graves Island,NS ,5,Full,CampsitePermit,ST,
Caribou Munroes,NS ,2,Senior,CampsitePermit,LT20ft,
Mira River,NS ,2,Full,CampsitePermit,LT20ft,
Valleyview,NS ,2,Senior,CampsitePermit,LT20ft,
Graves Island,NS ,2,Full,CampsitePermit,LT30ft,
Smileys,NS ,3,Full,CampsitePermit,LT20ft,
Dollar Lake,NS ,3,Full,CampsitePermit,ST,
Porters Lake,NS ,4,Full,CampsitePermit,LT20ft,
Thomas Raddall,NS ,3,Full,CampsitePermit,LT20ft,
Porters Lake,NS ,3,Full,CampsitePermit,ST,
Porters Lake,NS ,2,Full,CampsitePermit,LT30ft,
Laurie,NS ,2,Full,CampsitePermit,ST,
Graves Island,NS ,3,Full,CampsitePermit,LT40ft,
Laurie,NS ,5,Full,CampsitePermit,LT30ft,
Rissers Beach,NS ,2,Full,CampsitePermit,ST,
Smileys,NS ,3,Full,CampsitePermit,ST,
Cape Chignecto,NS ,2,Full,BackcountryPermit,ST,
Graves Island,NS ,2,Senior,CampsitePermit,LT30ft,
Thomas Raddall,NS ,5,Full,CampsitePermit,ST,
Battery,NS ,6,Full,CampsitePermit,LT20ft,
Graves Island,NS ,2,Senior,CampsitePermit,LT30ft,
Blomidon,NS ,3,Full,CampsitePermit,ST,
Smileys,NS ,3,Full,CampsitePermit,LT20ft,
Blomidon,NS ,2,Full,CampsitePermit,LT20ft,
Five Islands,NS ,5,Full,CampsitePermit,ST,
Graves Island,NS ,2,Full,CampsitePermit,ST,
Graves Island,NS ,2,Full,CampsitePermit,LT20ft,
Cape Chignecto,NS ,4,Full,BackcountryPermit,Cabin,
Caribou Munroes,NS ,2,Full,CampsitePermit,LT20ft,
Blomidon,NS ,2,Full,CampsitePermit,ST,
Porters Lake,NS ,2,Full,CampsitePermit,ST,
Battery,NS ,2,Full,CampsitePermit,LT20ft,
Whycocomagh,NS ,2,Full,CampsitePermit,LT30ft,
Caribou Munroes,NS ,3,Full,CampsitePermit,ST,
Laurie,NS ,4,Full,CampsitePermit,ST,
Mira River,NS ,2,Full,CampsitePermit,LT30ft,
Rissers Beach,NS ,2,Full,CampsitePermit,LT40ft,
Rissers Beach,NS ,2,Full,CampsitePermit,LT20ft,
Rissers Beach,NS ,2,Full,CampsitePermit,LT30ft,
Smileys,NS ,2,Full,CampsitePermit,LT20ft,
Ellenwood Lake,NS ,3,Full,CampsitePermit,ST,
Caribou Munroes,NS ,4,Full,CampsitePermit,ST,
Ellenwood Lake,NS ,2,Full,CampsitePermit,LT20ft,
Rissers Beach,NS ,4,Full,CampsitePermit,LT40ft,
The Islands,NS ,1,Full,CampsitePermit,ST,
Five Islands,NS ,1,Full,CampsitePermit,ST,
Rissers Beach,NS ,5,Full,CampsitePermit,LT40ft,
Graves Island,NS ,2,Full,CampsitePermit,LT30ft,
Rissers Beach,NS ,2,Full,CampsitePermit,ST,
Blomidon,NS ,1,Full,CampsitePermit,ST,
Graves Island,NS ,1,Full,CampsitePermit,LT20ft,
Blomidon,NS ,4,Veteran,CampsitePermit,ST,
Salsman,NS ,2,Full,CampsitePermit,LT30ft,
Ellenwood Lake,NS ,2,Full,CampsitePermit,LT20ft,
Blomidon,NS ,2,Full,CampsitePermit,ST,
Mira River,NS ,5,Full,CampsitePermit,LT30ft,
Mira River,NS ,2,Senior,CampsitePermit,LT30ft,
Rissers Beach,NS ,2,Full,CampsitePermit,LT20ft,
Thomas Raddall,NS ,4,Full,CampsitePermit,ST,
Blomidon,NS ,4,Full,CampsitePermit,ST,
Rissers Beach,NS ,2,Full,CampsitePermit,LT40ft,
Blomidon,NS ,4,Senior,CampsitePermit,LT30ft,
Porters Lake,NS ,2,Full,CampsitePermit,ST,
Caribou Munroes,NS ,3,Full,CampsitePermit,LT20ft,
Rissers Beach,NS ,2,Full,CampsitePermit,LT30ft,
Graves Island,NS ,2,Full,CampsitePermit,LT20ft,
Mira River,NS ,5,Full,CampsitePermit,ST,
Ellenwood Lake,NS ,2,Full,CampsitePermit,ST,
Blomidon,NS ,1,Full,CampsitePermit,ST,
Dollar Lake,NS ,4,Full,CampsitePermit,ST,
Graves Island,NS ,2,Full,CampsitePermit,LT20ft,
Thomas Raddall,NS ,4,Full,CampsitePermit,Tents,
Valleyview,NS ,1,Senior,CampsitePermit,ST,
Graves Island,NS ,4,Full,CampsitePermit,LT30ft,
Rissers Beach,NS ,4,Full,CampsitePermit,ST,
Rissers Beach,NS ,2,Full,CampsitePermit,LT30ft,
Dollar Lake,NS ,4,Full,CampsitePermit,ST,
Laurie,NS ,4,Full,CampsitePermit,ST,
Caribou Munroes,NS ,2,Full,CampsitePermit,ST,
Rissers Beach,NS ,4,Full,CampsitePermit,LT20ft,
Salsman,NS ,5,Full,CampsitePermit,LT20ft,
Boylston,NS ,2,Full,CampsitePermit,LT20ft,
Graves Island,NS ,2,Full,CampsitePermit,LT40ft,
Smileys,NS ,4,Full,CampsitePermit,LT30ft,
Caribou Munroes,NS ,2,Full,CampsitePermit,LT20ft,
Mira River,NS ,4,Full,CampsitePermit,LT20ft,
Rissers Beach,NS ,4,Full,CampsitePermit,LT20ft,
Graves Island,NS ,2,Full,CampsitePermit,LT40ft,
Salsman,NS ,2,Full,CampsitePermit,LT20ft,
Graves Island,NS ,1,Full,CampsitePermit,ST,
Mira River,NS ,2,Full,CampsitePermit,LT20ft,
Blomidon,NS ,2,Full,CampsitePermit,ST,
Salsman,NS ,2,Full,CampsitePermit,ST,
Blomidon,NS ,2,Full,CampsitePermit,LT20ft,
Whycocomagh,NS ,2,Full,CampsitePermit,LT30ft,
Smileys,NS ,2,Full,CampsitePermit,LT20ft,
Graves Island,NS ,6,Full,CampsitePermit,Tents,
Porters Lake,NS ,4,Full,CampsitePermit,LT30ft,
Whycocomagh,NS ,2,Full,CampsitePermit,LT30ft,
Amherst Shore,NS ,5,Full,CampsitePermit,LT20ft,
Graves Island,NS ,2,Full,CampsitePermit,ST,
Smileys,NS ,2,Senior,CampsitePermit,LT30ft,
Dollar Lake,NS ,4,Full,CampsitePermit,ST,
Dollar Lake,NS ,4,Full,CampsitePermit,Tents,
Rissers Beach,NS ,4,Full,CampsitePermit,LT30ft,
Mira River,NS ,5,Full,CampsitePermit,ST,
Five Islands,NS ,3,Full,CampsitePermit,Tents,
Rissers Beach,NS ,2,Full,CampsitePermit,LT20ft,
Mira River,NS ,3,Full,CampsitePermit,LT20ft,
Amherst Shore,NS ,3,Full,CampsitePermit,ST,
Dollar Lake,NS ,2,Full,CampsitePermit,ST,
Caribou Munroes,NS ,2,Full,CampsitePermit,ST,
Laurie,NS ,4,Full,CampsitePermit,LT40ft,
Ellenwood Lake,NS ,2,Full,CampsitePermit,ST,
Mira River,NS ,2,Veteran,CampsitePermit,Greater than 40ft,
Graves Island,NS ,4,Full,CampsitePermit,ST,
Ellenwood Lake,NS ,3,Full,CampsitePermit,LT20ft,
Smileys,NS ,2,Full,CampsitePermit,ST,
Laurie,NS ,6,Full,CampsitePermit,ST,
Rissers Beach,NS ,4,Full,CampsitePermit,LT30ft,
Smileys,NS ,6,Full,CampsitePermit,ST,
Caribou Munroes,NS ,3,Full,CampsitePermit,ST,
Rissers Beach,NS ,3,Full,CampsitePermit,LT30ft,
Smileys,NS ,5,Full,CampsitePermit,LT20ft,
Valleyview,NS ,2,Full,CampsitePermit,LT40ft,
Blomidon,NS ,2,Full,CampsitePermit,ST,
Mira River,NS ,4,Full,CampsitePermit,Tents,
Laurie,NS ,2,Full,CampsitePermit,ST,
Laurie,NS ,4,Full,CampsitePermit,ST,
Porters Lake,NS ,2,Senior,CampsitePermit,LT30ft,
Ellenwood Lake,NS ,4,Full,CampsitePermit,ST,
The Islands,NS ,4,Full,CampsitePermit,LT20ft,
Caribou Munroes,NS ,2,Full,CampsitePermit,LT30ft,
Graves Island,NS ,4,Full,CampsitePermit,LT30ft,
Amherst Shore,NS ,5,Full,CampsitePermit,ST,
Ellenwood Lake,NS ,5,Full,CampsitePermit,Tents,
Blomidon,NS ,1,Full,CampsitePermit,ST,
Thomas Raddall,NS ,6,Full,CampsitePermit,Tents,
Caribou Munroes,NS ,3,Full,CampsitePermit,ST,
Graves Island,NS ,1,Senior,CampsitePermit,ST,
Amherst Shore,NS ,4,Senior,CampsitePermit,LT30ft,
Caribou Munroes,NS ,4,Full,CampsitePermit,LT30ft,
Blomidon,NS ,1,Full,CampsitePermit,ST,
Graves Island,NS ,5,Full,CampsitePermit,LT40ft,
Graves Island,NS ,2,Full,CampsitePermit,ST,
Amherst Shore,NS ,2,Full,CampsitePermit,ST,
Dollar Lake,NS ,4,Full,CampsitePermit,ST,
Mira River,NS ,4,Full,CampsitePermit,ST,
Dollar Lake,NS ,2,Full,CampsitePermit,LT30ft,
Whycocomagh,NS ,1,Full,CampsitePermit,ST,
Rissers Beach,NS ,1,Full,CampsitePermit,ST,
Ellenwood Lake,NS ,2,Full,CampsitePermit,LT30ft,
Dollar Lake,NS ,2,Full,CampsitePermit,ST,
Cape Chignecto,NS ,1,Full,BackcountryPermit,ST,
Boylston,NS ,4,Full,CampsitePermit,LT20ft,
Ellenwood Lake,NS ,4,Full,CampsitePermit,Tents,
Cape Chignecto,NS ,4,Full,BackcountryPermit,Tents,
Rissers Beach,NS ,4,Full,CampsitePermit,Tents,
Mira River,NS ,3,Full,CampsitePermit,LT20ft,
Ellenwood Lake,NS ,2,Full,CampsitePermit,ST,
Dollar Lake,NS ,6,Full,CampsitePermit,ST,
Rissers Beach,NS ,2,Full,CampsitePermit,LT30ft,
Rissers Beach,NS ,3,Full,CampsitePermit,LT30ft,
Ellenwood Lake,NS ,6,Full,CampsitePermit,ST,
Mira River,NS ,1,Veteran,CampsitePermit,ST,
Amherst Shore,NS ,5,Full,CampsitePermit,ST,
Graves Island,NS ,2,Senior,CampsitePermit,LT30ft,
Amherst Shore,NS ,2,Full,CampsitePermit,ST,
Thomas Raddall,NS ,2,Full,CampsitePermit,LT30ft,
Cape Chignecto,NS ,2,Full,BackcountryPermit,ST,
Rissers Beach,NS ,3,Full,CampsitePermit,LT20ft,
Ellenwood Lake,NS ,3,Full,CampsitePermit,ST,
Caribou Munroes,NS ,2,Full,CampsitePermit,LT30ft,
Porters Lake,NS ,6,Full,CampsitePermit,ST,
Mira River,NS ,3,Full,CampsitePermit,LT20ft,
Blomidon,NS ,1,Full,CampsitePermit,ST,
Caribou Munroes,NS ,5,Full,CampsitePermit,LT20ft,
Dollar Lake,NS ,2,Full,CampsitePermit,ST,
Rissers Beach,NS ,4,Veteran,CampsitePermit,Tents,
Graves Island,NS ,2,Full,CampsitePermit,ST,
Whycocomagh,NS ,3,Full,CampsitePermit,ST,
Porters Lake,NS ,2,Full,CampsitePermit,ST,
Rissers Beach,NS ,2,Full,CampsitePermit,LT20ft,
Smileys,NS ,4,Full,CampsitePermit,Tents,
Rissers Beach,NS ,5,Full,CampsitePermit,LT30ft,
Caribou Munroes,NS ,8,Full,CampsitePermit,ST,
Graves Island,NS ,2,Full,CampsitePermit,LT20ft,
Ellenwood Lake,NS ,2,Full,CampsitePermit,ST,
Dollar Lake,NS ,4,Full,CampsitePermit,ST,
Valleyview,NS ,2,Full,CampsitePermit,ST,
Dollar Lake,NS ,4,Full,CampsitePermit,ST,
Battery,NS ,2,Full,CampsitePermit,ST,
Porters Lake,NS ,2,Full,CampsitePermit,ST,
Rissers Beach,NS ,3,Full,CampsitePermit,LT30ft,
Caribou Munroes,NS ,4,Full,CampsitePermit,LT40ft,
Valleyview,NS ,3,Full,CampsitePermit,LT20ft,
Thomas Raddall,NS ,2,Full,CampsitePermit,ST,
Graves Island,NS ,2,Full,CampsitePermit,LT40ft,
Mira River,NS ,2,Full,CampsitePermit,LT30ft,
Mira River,NS ,2,Full,CampsitePermit,ST,
Dollar Lake,NS ,4,Full,CampsitePermit,ST,
Thomas Raddall,NS ,2,Full,CampsitePermit,LT30ft,
Thomas Raddall,NS ,2,Full,CampsitePermit,ST,
Dollar Lake,NS ,4,Full,CampsitePermit,ST,
Mira River,NS ,2,Full,CampsitePermit,LT30ft,
Graves Island,NS ,2,Full,CampsitePermit,Tents,
Caribou Munroes,NS ,4,Full,CampsitePermit,LT20ft,
Graves Island,NS ,2,Full,CampsitePermit,LT20ft,
Graves Island,NS ,2,Full,CampsitePermit,LT20ft,
Thomas Raddall,NS ,2,Full,CampsitePermit,LT20ft,
Porters Lake,NS ,1,Full,CampsitePermit,ST,
The Islands,NS ,3,Full,CampsitePermit,ST,
Graves Island,NS ,3,Full,CampsitePermit,Tents,
The Islands,NS ,3,Full,CampsitePermit,LT20ft,
Dollar Lake,NS ,4,Full,CampsitePermit,Tents,
Caribou Munroes,NS ,4,Full,CampsitePermit,ST,
Graves Island,NS ,2,Full,CampsitePermit,ST,
Thomas Raddall,NS ,3,Full,CampsitePermit,LT30ft,
Caribou Munroes,NS ,4,Full,CampsitePermit,Tents,
Dollar Lake,NS ,5,Full,CampsitePermit,Tents,
Porters Lake,NS ,6,Full,CampsitePermit,ST,
Blomidon,NS ,4,Full,CampsitePermit,Tents,
Caribou Munroes,NS ,2,Full,CampsitePermit,LT20ft,
Smileys,NS ,4,Full,CampsitePermit,ST,
Graves Island,NS ,6,Full,CampsitePermit,LT20ft,
Porters Lake,NS ,2,Full,CampsitePermit,ST,
Five Islands,NS ,2,Full,CampsitePermit,LT20ft,
Laurie,NS ,2,Full,CampsitePermit,ST,
Dollar Lake,NS ,6,Full,CampsitePermit,Tents,
Dollar Lake,NS ,4,Full,CampsitePermit,ST,
Graves Island,NS ,2,Full,CampsitePermit,LT20ft,
Valleyview,NS ,2,Full,CampsitePermit,ST,
Dollar Lake,NS ,3,Full,CampsitePermit,LT20ft,
Mira River,NS ,4,Full,CampsitePermit,LT30ft,
Caribou Munroes,NS ,2,Full,CampsitePermit,LT30ft,
Mira River,NS ,2,Full,CampsitePermit,LT20ft,
Laurie,NS ,2,Senior,CampsitePermit,LT30ft,
Dollar Lake,NS ,4,Full,CampsitePermit,Tents,
Caribou Munroes,NS ,2,Full,CampsitePermit,LT20ft,
Whycocomagh,NS ,2,Full,CampsitePermit,LT40ft,
Mira River,NS ,3,Full,CampsitePermit,LT40ft,
Caribou Munroes,NS ,3,Full,CampsitePermit,LT30ft,
Five Islands,NS ,2,Full,CampsitePermit,ST,
Rissers Beach,NS ,3,Full,CampsitePermit,LT30ft,
Blomidon,NS ,2,Full,CampsitePermit,LT20ft,
Caribou Munroes,NS ,2,Full,CampsitePermit,ST,
Amherst Shore,NS ,3,Full,CampsitePermit,ST,
Amherst Shore,NS ,5,Full,CampsitePermit,ST,
Mira River,NS ,4,Full,CampsitePermit,LT20ft,
Dollar Lake,NS ,2,Veteran,CampsitePermit,LT20ft,
Mira River,NS ,2,Full,CampsitePermit,LT20ft,
Blomidon,NS ,2,Full,CampsitePermit,ST,
Caribou Munroes,NS ,2,Full,CampsitePermit,LT40ft,
Ellenwood Lake,NS ,2,Senior,CampsitePermit,LT20ft,
Amherst Shore,NS ,2,Full,CampsitePermit,LT20ft,
Mira River,NS ,3,Full,CampsitePermit,ST,
Thomas Raddall,NS ,2,Veteran,CampsitePermit,LT20ft,
Caribou Munroes,NS ,2,Full,CampsitePermit,ST,
The Islands,NS ,3,Full,CampsitePermit,ST,
Caribou Munroes,NS ,3,Full,CampsitePermit,LT30ft,
Dollar Lake,NS ,2,Senior,CampsitePermit,LT20ft,
Rissers Beach,NS ,3,Full,CampsitePermit,LT30ft,
Blomidon,NS ,2,Full,CampsitePermit,ST,
Mira River,NS ,2,Senior,CampsitePermit,LT30ft,
Smileys,NS ,4,Senior,CampsitePermit,LT20ft,
Porters Lake,NS ,4,Full,CampsitePermit,LT20ft,
Porters Lake,NS ,4,Full,CampsitePermit,Tents,
Rissers Beach,NS ,4,Full,CampsitePermit,ST,
Rissers Beach,NS ,2,Full,CampsitePermit,ST,
Rissers Beach,NS ,2,Full,CampsitePermit,LT30ft,
Smileys,NS ,2,Senior,CampsitePermit,LT20ft,
Battery,NS ,2,Full,CampsitePermit,ST,
Rissers Beach,NS ,2,Senior,CampsitePermit,LT20ft,
Ellenwood Lake,NS ,4,Full,CampsitePermit,ST,
Mira River,NS ,2,Full,CampsitePermit,LT20ft,
Porters Lake,NS ,4,Full,CampsitePermit,ST,
Thomas Raddall,NS ,2,Full,CampsitePermit,Tents,
Dollar Lake,NS ,2,Full,CampsitePermit,LT30ft,
Porters Lake,NS ,6,Full,CampsitePermit,LT20ft,
Dollar Lake,NS ,4,Full,CampsitePermit,ST,
Ellenwood Lake,NS ,2,Full,CampsitePermit,LT20ft,
Dollar Lake,NS ,6,Full,CampsitePermit,ST,
Mira River,NS ,2,Full,CampsitePermit,LT20ft,
Smileys,NS ,3,Full,CampsitePermit,ST,
Ellenwood Lake,NS ,5,Full,CampsitePermit,Tents,
Porters Lake,NS ,2,Full,CampsitePermit,ST,
Five Islands,NS ,4,Full,CampsitePermit,Tents,
Mira River,NS ,3,Full,CampsitePermit,Tents,
Caribou Munroes,NS ,2,Senior,CampsitePermit,LT30ft,
Smileys,NS ,4,Full,CampsitePermit,ST,
Graves Island,NS ,4,Full,CampsitePermit,ST,
Mira River,NS ,4,Full,CampsitePermit,ST,
Cape Chignecto,NS ,2,Full,BackcountryPermit,ST,
Porters Lake,NS ,4,Full,CampsitePermit,ST,
Caribou Munroes,NS ,1,Full,CampsitePermit,LT20ft,
Battery,NS ,4,Full,CampsitePermit,ST,
Dollar Lake,NS ,5,Full,CampsitePermit,ST,
Mira River,NS ,2,Veteran,CampsitePermit,ST,
Smileys,NS ,4,Full,CampsitePermit,Greater than 40ft,
Caribou Munroes,NS ,2,Full,CampsitePermit,ST,
Thomas Raddall,NS ,2,Senior,CampsitePermit,LT30ft,
Rissers Beach,NS ,5,Full,CampsitePermit,Tents,
Mira River,NS ,2,Full,CampsitePermit,LT20ft,
Rissers Beach,NS ,4,Full,CampsitePermit,Tents,
Dollar Lake,NS ,2,Full,CampsitePermit,ST,
Graves Island,NS ,2,Full,CampsitePermit,LT40ft,
Ellenwood Lake,NS ,2,Full,CampsitePermit,Tents,
Dollar Lake,NS ,5,Senior,CampsitePermit,LT20ft,
Dollar Lake,NS ,4,Full,CampsitePermit,ST,
Whycocomagh,NS ,2,Senior,CampsitePermit,LT30ft,
Salsman,NS ,2,Senior,CampsitePermit,LT30ft,
Smileys,NS ,2,Full,CampsitePermit,ST,
Rissers Beach,NS ,4,Full,CampsitePermit,LT30ft,
Porters Lake,NS ,5,Full,CampsitePermit,ST,
Battery,NS ,2,Senior,CampsitePermit,ST,
Dollar Lake,NS ,4,Full,CampsitePermit,LT20ft,
Rissers Beach,NS ,2,Full,CampsitePermit,ST,
Rissers Beach,NS ,2,Full,CampsitePermit,LT30ft,
Rissers Beach,NS ,6,Full,CampsitePermit,Tents,
Five Islands,NS ,2,Full,CampsitePermit,ST,
Rissers Beach,NS ,2,Full,CampsitePermit,LT30ft,
Dollar Lake,NS ,2,Full,CampsitePermit,ST,
Rissers Beach,NS ,4,Full,CampsitePermit,LT30ft,
The Islands,NS ,4,Full,CampsitePermit,LT20ft,
Ellenwood Lake,NS ,3,Full,CampsitePermit,ST,
Graves Island,NS ,2,Full,CampsitePermit,ST,
Caribou Munroes,NS ,2,Full,CampsitePermit,ST,
Blomidon,NS ,2,Full,CampsitePermit,ST,
Rissers Beach,NS ,4,Full,CampsitePermit,LT30ft,
Battery,NS ,5,Full,CampsitePermit,LT20ft,
Five Islands,NS ,6,Full,CampsitePermit,ST,
Five Islands,NS ,2,Full,CampsitePermit,LT20ft,
Mira River,NS ,2,Full,CampsitePermit,LT30ft,
Porters Lake,NS ,2,Full,CampsitePermit,Tents,
Laurie,NS ,5,Full,CampsitePermit,LT40ft,
Rissers Beach,NS ,3,Full,CampsitePermit,ST,
Dollar Lake,NS ,3,Full,CampsitePermit,ST,
Mira River,NS ,7,Full,CampsitePermit,Tents,
Rissers Beach,NS ,3,Full,CampsitePermit,ST,
Battery,NS ,2,Full,CampsitePermit,ST,
Laurie,NS ,4,Full,CampsitePermit,LT40ft,
Amherst Shore,NS ,4,Full,CampsitePermit,LT30ft,
Dollar Lake,NS ,7,Full,CampsitePermit,Tents,
Porters Lake,NS ,2,Full,CampsitePermit,ST,
Porters Lake,NS ,3,Full,CampsitePermit,LT20ft,
Porters Lake,NS ,3,Full,CampsitePermit,Tents,
Dollar Lake,NS ,2,Veteran,CampsitePermit,LT30ft,
Smileys,NS ,2,Full,CampsitePermit,ST,
Thomas Raddall,NS ,5,Full,CampsitePermit,LT40ft,
Graves Island,NS ,2,Full,CampsitePermit,ST,
Mira River,NS ,5,Full,CampsitePermit,ST,
Blomidon,NS ,2,Full,CampsitePermit,ST,
Rissers Beach,NS ,6,Full,CampsitePermit,Tents,
Graves Island,NS ,2,Full,CampsitePermit,LT30ft,
Blomidon,NS ,3,Full,CampsitePermit,Tents,
Whycocomagh,NS ,3,Full,YurtPermit,Tents,
Rissers Beach,NS ,2,Full,CampsitePermit,LT30ft,
Graves Island,NS ,4,Full,CampsitePermit,ST,
Rissers Beach,NS ,2,Full,CampsitePermit,LT20ft,
Salsman,NS ,4,Full,CampsitePermit,Tents,
Five Islands,NS ,2,Full,CampsitePermit,LT20ft,
Battery,NS ,2,Full,CampsitePermit,ST,
Porters Lake,NS ,4,Full,CampsitePermit,ST,
Laurie,NS ,2,Full,CampsitePermit,ST,
Five Islands,NS ,6,Full,CampsitePermit,Tents,
Rissers Beach,NS ,2,Full,CampsitePermit,LT30ft,
Caribou Munroes,NS ,4,Full,CampsitePermit,LT20ft,
Mira River,NS ,2,Full,CampsitePermit,ST,
Graves Island,NS ,1,Full,CampsitePermit,ST,
Caribou Munroes,NS ,4,Full,CampsitePermit,ST,
Porters Lake,NS ,1,Full,CampsitePermit,ST,
Graves Island,NS ,3,Senior,CampsitePermit,LT20ft,
Salsman,NS ,4,Full,CampsitePermit,LT30ft,
Graves Island,NS ,2,Full,CampsitePermit,ST,
The Islands,NS ,2,Full,CampsitePermit,ST,
Mira River,NS ,5,Full,CampsitePermit,ST,
Amherst Shore,NS ,1,Full,CampsitePermit,LT20ft,
Cape Chignecto,NS ,2,Full,BackcountryPermit,ST,
Laurie,NS ,3,Full,CampsitePermit,ST,
Cape Chignecto,NS ,2,Full,BackcountryPermit,ST,
Mira River,NS ,2,Full,CampsitePermit,ST,
Porters Lake,NS ,4,Full,CampsitePermit,ST,
Mira River,NS ,2,Senior,CampsitePermit,ST,
Blomidon,NS ,3,Full,CampsitePermit,ST,
Dollar Lake,NS ,2,Full,CampsitePermit,LT20ft,
Mira River,NS ,5,Full,CampsitePermit,ST,
Amherst Shore,NS ,2,Full,CampsitePermit,ST,
